epoch,acc,loss,lr
0,0.38032334384858046,5.995766508391227,0.001
1,0.3810725552050473,5.36720231143458,0.001
2,0.3810725552050473,5.191697296960873,0.001
3,0.3810725552050473,5.0061042612659445,0.001
4,0.3810725552050473,4.809456471313814,0.001
5,0.38095425867507887,4.646710727417883,0.001
6,0.38178233438485804,4.394479493312655,0.001
7,0.38296529968454257,4.208036850303506,0.001
8,0.38706624605678236,3.9360447198434585,0.001
9,0.3892350157728707,3.712944400348122,0.001
10,0.3949526813880126,3.4396557841015163,0.001
11,0.39988170347003155,3.3025337224503044,0.001
12,0.41277602523659307,3.0070436715327604,0.001
13,0.42764195583596215,2.7906381925949915,0.001
14,0.4755520504731861,2.323054237997494,0.001
15,0.5132492113564668,2.073750056378097,0.001
16,0.5377760252365931,1.937441855988668,0.001
17,0.6085173501577287,1.5881431824213323,0.001
18,0.6440851735015772,1.4234973208949393,0.001
19,0.7141955835962145,1.1213087928501966,0.001
20,0.8309542586750789,0.6940593008081244,0.001
21,0.820031545741325,0.7107581499529185,0.001
22,0.8952287066246056,0.4248036609698169,0.001
23,0.9158517350157729,0.34295485112287266,0.001
24,0.9127760252365931,0.32679185994698046,0.001
25,0.9265772870662461,0.2808565623094607,0.001
26,0.9352917981072555,0.24071453217657912,0.001
27,0.942429022082019,0.2140900694268641,0.001
28,0.943769716088328,0.20368848154879518,0.001
29,0.9544952681388013,0.1639966675594496,0.001
30,0.9542192429022082,0.16280973280680128,0.001
31,0.948935331230284,0.18535624801383974,0.001
32,0.9691246056782334,0.10935966968125067,0.001
33,0.9629731861198738,0.12813188256269867,0.001
34,0.9649053627760252,0.12048011766379399,0.001
35,0.9466876971608833,0.18189920033372303,0.001
36,0.989826498422713,0.04346357071546365,0.0005
37,0.9974369085173501,0.017758712897441506,0.0005
38,0.9948343848580442,0.02460876376632886,0.0005
39,0.9941246056782335,0.026714074635424297,0.0005
40,0.9948343848580442,0.02339114074593253,0.0005
41,0.9976735015772871,0.01353873251649964,0.00025
42,0.9991324921135647,0.008320480224995746,0.00025
